medal_type,medal_code,name,country,country_code,nationality,discipline,event,birth_date,code
Gold Medal,1,DAVIS Tamari,United States,USA,United States,Athletics,Women's 4 x 100m Relay,2003-02-15,1960709
Gold Medal,1,HOBBS Aleia,United States,USA,United States,Athletics,Women's 4 x 100m Relay,1996-02-24,1960115
Gold Medal,1,JEFFERSON Melissa,United States,USA,United States,Athletics,Women's 4 x 100m Relay,2001-02-21,1961011
Gold Medal,1,RICHARDSON Sha'carri,United States,USA,United States,Athletics,Women's 4 x 100m Relay,2000-03-25,1960181
Gold Medal,1,TERRY Twanisha,United States,USA,United States,Athletics,Women's 4 x 100m Relay,1999-01-24,1965942
Gold Medal,1,THOMAS Gabrielle,United States,USA,United States,Athletics,Women's 4 x 100m Relay,1996-12-07,1965868
Silver Medal,2,ASHER-SMITH Dina,Great Britain,GBR,Great Britain,Athletics,Women's 4 x 100m Relay,1995-12-04,1924384
Silver Medal,2,HENRY Desiree,Great Britain,GBR,Great Britain,Athletics,Women's 4 x 100m Relay,1995-08-26,1956843
Silver Medal,2,HUNT Amy,Great Britain,GBR,Great Britain,Athletics,Women's 4 x 100m Relay,2002-05-15,1924432
Silver Medal,2,LANSIQUOT Imani,Great Britain,GBR,Great Britain,Athletics,Women's 4 x 100m Relay,1997-12-17,1924446
Silver Medal,2,NEITA Daryll,Great Britain,GBR,Great Britain,Athletics,Women's 4 x 100m Relay,1996-08-29,1924460
Silver Medal,2,WILLIAMS Bianca,Great Britain,GBR,Great Britain,Athletics,Women's 4 x 100m Relay,1993-12-18,1924507
Bronze Medal,3,BURGHARDT Alexandra,Germany,GER,Germany,Athletics,Women's 4 x 100m Relay,1994-04-28,1920096
Bronze Medal,3,HAASE Rebekka,Germany,GER,Germany,Athletics,Women's 4 x 100m Relay,1993-01-02,1920119
Bronze Medal,3,JUNK Sophia,Germany,GER,Germany,Athletics,Women's 4 x 100m Relay,1999-03-01,1920142
Bronze Medal,3,LUECKENKEMPER Gina,Germany,GER,Germany,Athletics,Women's 4 x 100m Relay,1996-11-21,1920164
Bronze Medal,3,MAYER Lisa,Germany,GER,Germany,Athletics,Women's 4 x 100m Relay,1996-05-02,1920169
Gold Medal,1,SILVA RAMOS Ana Patricia,Brazil,BRA,Brazil,Beach Volleyball,Women,1997-09-29,1964058
Gold Medal,1,SANTOS LISBOA Eduarda,Brazil,BRA,Brazil,Beach Volleyball,Women,1998-08-01,1964088
Silver Medal,2,HUMANA-PAREDES Melissa,Canada,CAN,Canada,Beach Volleyball,Women,1992-10-10,1967340
Silver Medal,2,WILKERSON Brandie,Canada,CAN,Canada,Beach Volleyball,Women,1992-07-01,1967346
Bronze Medal,3,HUEBERLI Tanja,Switzerland,SUI,Switzerland,Beach Volleyball,Women,1992-08-27,1976570
Bronze Medal,3,BRUNNER Nina,Switzerland,SUI,Switzerland,Beach Volleyball,Women,1995-10-14,1976465
Gold Medal,1,GUAZZINI Vittoria,Italy,ITA,Italy,Cycling Track,Women's Madison,2000-12-26,1923042
Gold Medal,1,CONSONNI Chiara,Italy,ITA,Italy,Cycling Track,Women's Madison,1999-06-24,1923048
Silver Medal,2,EVANS Neah,Great Britain,GBR,Great Britain,Cycling Track,Women's Madison,1990-08-01,1912519
Silver Medal,2,BARKER Elinor,Great Britain,GBR,Great Britain,Cycling Track,Women's Madison,1994-09-07,1912507
Bronze Medal,3,van BELLE Lisa,Netherlands,NED,Netherlands,Cycling Track,Women's Madison,2004-01-30,1969170
Bronze Medal,3,van der DUIN Maike,Netherlands,NED,Netherlands,Cycling Track,Women's Madison,2001-09-12,1969173
Gold Medal,1,TENAS Arnau,Spain,ESP,Spain,Football,Men,2001-05-30,1942296
Gold Medal,1,PUBILL Marc,Spain,ESP,Spain,Football,Men,2003-06-20,1942269
Gold Medal,1,MIRANDA Juan,Spain,ESP,Spain,Football,Men,2000-01-19,1942241
Gold Medal,1,GARCIA Eric,Spain,ESP,Spain,Football,Men,2001-01-09,1942076
Gold Medal,1,CUBARSI Pau,Spain,ESP,Spain,Football,Men,2007-01-22,1942056
Gold Medal,1,BARRIOS Pablo,Spain,ESP,Spain,Football,Men,2003-06-15,1942037
Gold Medal,1,LOPEZ Diego,Spain,ESP,Spain,Football,Men,2002-05-13,1942222
Gold Medal,1,TURRIENTES Benat,Spain,ESP,Spain,Football,Men,2002-01-31,1942301
Gold Medal,1,RUIZ Abel,Spain,ESP,Spain,Football,Men,2000-01-28,1942280
Gold Medal,1,BAENA Alex,Spain,ESP,Spain,Football,Men,2001-07-20,1942033
Gold Medal,1,LOPEZ Fermin,Spain,ESP,Spain,Football,Men,2003-05-11,1942221
Gold Medal,1,PACHECO Jon,Spain,ESP,Spain,Football,Men,2001-01-08,1942259
Gold Medal,1,GARCIA Joan,Spain,ESP,Spain,Football,Men,2001-05-04,1942077
Gold Medal,1,OROZ Aimar,Spain,ESP,Spain,Football,Men,2001-11-27,1942257
Gold Medal,1,GUTIERREZ Miguel,Spain,ESP,Spain,Football,Men,2001-07-27,1942099
Gold Medal,1,BERNABE Adrian,Spain,ESP,Spain,Football,Men,2001-05-26,1942039
Gold Medal,1,GOMEZ Sergio,Spain,ESP,Spain,Football,Men,2000-09-04,1942089
Gold Medal,1,OMORODION Samu,Spain,ESP,Spain,Football,Men,2004-05-05,1942256
Gold Medal,1,MOSQUERA Cristhian,Spain,ESP,Spain,Football,Men,2004-06-27,1942248
Gold Medal,1,SANCHEZ Juanlu,Spain,ESP,Spain,Football,Men,2003-08-15,1942289
Gold Medal,1,CAMELLO Sergio,Spain,ESP,Spain,Football,Men,2001-02-10,1942046
Gold Medal,1,ITURBE Alejandro,Spain,ESP,Spain,Football,Men,2003-09-02,1942104
Silver Medal,2,NKAMBADIO Obed,France,FRA,France,Football,Men,2003-02-07,1900695
Silver Medal,2,LUKEBA Castello,France,FRA,France,Football,Men,2002-12-17,1900683
Silver Medal,2,TRUFFERT Adrien,France,FRA,France,Football,Men,2001-11-20,1900718
Silver Medal,2,BADE Loic,France,FRA,France,Football,Men,2000-04-11,4669223
Silver Medal,2,SILDILLIA Kiliann,France,FRA,France,Football,Men,2002-05-16,1900709
Silver Medal,2,KONE Manu,France,FRA,France,Football,Men,2001-05-17,1900672
Silver Medal,2,OLISE Michael,France,FRA,France,Football,Men,2001-12-12,1900699
Silver Medal,2,AKLIOUCHE Maghnes,France,FRA,France,Football,Men,2002-02-25,1900626
Silver Medal,2,KALIMUENDO Arnaud,France,FRA,France,Football,Men,2002-01-20,1900668
Silver Medal,2,LACAZETTE Alexandre,France,FRA,France,Football,Men,1991-05-28,1900674
Silver Medal,2,DOUE Desire,France,FRA,France,Football,Men,2005-06-03,1900653
Silver Medal,2,MILLOT Enzo,France,FRA,France,Football,Men,2002-07-17,1900694
Silver Medal,2,CHOTARD Joris,France,FRA,France,Football,Men,2001-09-24,1900644
Silver Medal,2,MATETA Jean-Philippe,France,FRA,France,Football,Men,1997-06-28,3549727
Silver Medal,2,LOCKO Bradley,France,FRA,France,Football,Men,2002-05-06,1900682
Silver Medal,2,RESTES Guillaume,France,FRA,France,Football,Men,2005-03-11,1900702
Silver Medal,2,MAGASSA Soungoutou,France,FRA,France,Football,Men,2003-10-08,1900684
Silver Medal,2,CHERKI Rayan,France,FRA,France,Football,Men,2003-08-17,1900641
Silver Medal,2,MATSIMA Chrislain,France,FRA,France,Football,Men,2002-05-15,1900690
Silver Medal,2,DIOUF Andy,France,FRA,France,Football,Men,2003-05-17,1900651
Silver Medal,2,LEPENANT Johann,France,FRA,France,Football,Men,2002-10-22,1900680
Bronze Medal,3,FROHMS Merle,Germany,GER,Germany,Football,Women,1995-01-28,1880591
Bronze Medal,3,LINDER Sarai,Germany,GER,Germany,Football,Women,1999-10-26,1880576
Bronze Medal,3,HENDRICH Kathrin,Germany,GER,Germany,Football,Women,1992-04-06,1880566
Bronze Medal,3,SCHULZE SOLANO Bibiane,Germany,GER,Germany,Football,Women,1998-11-12,1880606
Bronze Medal,3,HEGERING Marina,Germany,GER,Germany,Football,Women,1990-04-17,1880595
Bronze Medal,3,MINGE Janina,Germany,GER,Germany,Football,Women,1999-06-11,1880574
Bronze Medal,3,SCHUELLER Lea,Germany,GER,Germany,Football,Women,1997-11-12,1880572
Bronze Medal,3,LOHMANN Sydney,Germany,GER,Germany,Football,Women,2000-06-19,1880581
Bronze Medal,3,NUESKEN Sjoeke,Germany,GER,Germany,Football,Women,2001-01-22,1880584
Bronze Medal,3,FREIGANG Laura,Germany,GER,Germany,Football,Women,1998-02-01,1880573
Bronze Medal,3,POPP Alexandra,Germany,GER,Germany,Football,Women,1991-04-06,1880564
Bronze Medal,3,BERGER Ann-Katrin,Germany,GER,Germany,Football,Women,1990-10-09,1880602
Bronze Medal,3,DOORSOUN Sara,Germany,GER,Germany,Football,Women,1991-11-17,1880565
Bronze Medal,3,SENSS Elisa,Germany,GER,Germany,Football,Women,1997-10-01,1880609
Bronze Medal,3,GWINN Giulia,Germany,GER,Germany,Football,Women,1999-07-02,1880575
Bronze Medal,3,BRAND Jule,Germany,GER,Germany,Football,Women,2002-10-16,1880592
Bronze Medal,3,BUEHL Klara,Germany,GER,Germany,Football,Women,2000-12-07,1880583
Bronze Medal,3,ENDEMANN Vivien,Germany,GER,Germany,Football,Women,2001-08-07,1880610
Bronze Medal,3,RAUCH Felicitas,Germany,GER,Germany,Football,Women,1996-04-30,1880571
Bronze Medal,3,ANYOMI Nicole,Germany,GER,Germany,Football,Women,2000-02-10,1880578
Gold Medal,1,VEENENDAAL Anne,Netherlands,NED,Netherlands,Hockey,Women,1995-09-07,1971974
Gold Medal,1,FOKKE Luna Noa,Netherlands,NED,Netherlands,Hockey,Women,2001-03-09,1971927
Gold Medal,1,MOES Freeke,Netherlands,NED,Netherlands,Hockey,Women,1998-11-29,1971955
Gold Medal,1,POST Lisa,Netherlands,NED,Netherlands,Hockey,Women,1999-01-27,1971960
Gold Medal,1,de WAARD Xan,Netherlands,NED,Netherlands,Hockey,Women,1995-11-08,1971978
Gold Medal,1,JANSEN Yibbi,Netherlands,NED,Netherlands,Hockey,Women,1999-11-18,1971940
Gold Medal,1,van LAARHOVEN Renee,Netherlands,NED,Netherlands,Hockey,Women,1997-10-15,1971948
Gold Medal,1,ALBERS Felice,Netherlands,NED,Netherlands,Hockey,Women,1999-12-27,1971903
Gold Medal,1,VERSCHOOR Maria,Netherlands,NED,Netherlands,Hockey,Women,1994-04-22,1971975
Gold Medal,1,KOOLEN Sanne,Netherlands,NED,Netherlands,Hockey,Women,1996-03-23,1971945
Gold Medal,1,MATLA Frederique,Netherlands,NED,Netherlands,Hockey,Women,1996-12-28,1971950
Gold Medal,1,BURG Joosje,Netherlands,NED,Netherlands,Hockey,Women,1997-07-29,1971919
Gold Medal,1,JOCHEMS Marleen,Netherlands,NED,Netherlands,Hockey,Women,2000-01-24,1971942
Gold Medal,1,SANDERS Pien,Netherlands,NED,Netherlands,Hockey,Women,1998-06-11,1971965
Gold Medal,1,VEEN Marijn,Netherlands,NED,Netherlands,Hockey,Women,1996-11-18,1971973
Gold Medal,1,NUNNINK Laura,Netherlands,NED,Netherlands,Hockey,Women,1995-01-26,1971958
Gold Medal,1,DICKE Pien,Netherlands,NED,Netherlands,Hockey,Women,1999-08-28,1971923
Silver Medal,2,YE Jiao,China,CHN,China,Hockey,Women,1994-10-21,1926915
Silver Medal,2,GU Bingfeng,China,CHN,China,Hockey,Women,1994-01-25,1926896
Silver Medal,2,YANG Liu,China,CHN,China,Hockey,Women,1998-09-01,1926914
Silver Medal,2,ZHANG Ying,China,CHN,China,Hockey,Women,1998-08-29,1926920
Silver Medal,2,CHEN Yi,China,CHN,China,Hockey,Women,1997-01-28,1926893
Silver Medal,2,MA Ning,China,CHN,China,Hockey,Women,2000-09-29,1926908
Silver Medal,2,LI Hong,China,CHN,China,Hockey,Women,1999-05-31,1926901
Silver Medal,2,OU Zixia,China,CHN,China,Hockey,Women,1995-09-24,1926909
Silver Medal,2,DAN Wen,China,CHN,China,Hockey,Women,1999-06-14,1926894
Silver Medal,2,ZOU Meirong,China,CHN,China,Hockey,Women,2000-09-01,1926923
Silver Medal,2,HE Jiangxin,China,CHN,China,Hockey,Women,1997-08-19,1926898
Silver Medal,2,FAN Yunxia,China,CHN,China,Hockey,Women,2002-12-07,1926895
Silver Medal,2,CHEN Yang,China,CHN,China,Hockey,Women,1997-02-15,1926926
Silver Medal,2,XU Wenyu,China,CHN,China,Hockey,Women,1995-12-06,1926912
Silver Medal,2,ZHONG Jiaqi,China,CHN,China,Hockey,Women,1999-09-23,1926922
Silver Medal,2,TAN Jinzhuang,China,CHN,China,Hockey,Women,2003-01-27,1926910
Silver Medal,2,YU Anhui,China,CHN,China,Hockey,Women,2001-04-30,1926916
Bronze Medal,3,TOCCALINO Sofia,Argentina,ARG,Argentina,Hockey,Women,1997-03-20,1538304
Bronze Medal,3,GORZELANY Agustina,Argentina,ARG,Argentina,Hockey,Women,1996-03-11,1538274
Bronze Medal,3,RAPOSO RUIZ de los LLANOS Valentina,Argentina,ARG,Argentina,Hockey,Women,2003-01-28,1538294
Bronze Medal,3,ALONSO Agostina,Argentina,ARG,,Hockey,Women,1995-10-01,1538253
Bronze Medal,3,ALBERTARRIO Agustina,Argentina,ARG,Argentina,Hockey,Women,1993-01-01,1538244
Bronze Medal,3,GRANATTO Maria,Argentina,ARG,Argentina,Hockey,Women,1995-04-21,1538276
Bronze Medal,3,COSENTINO Cristina,Argentina,ARG,Argentina,Hockey,Women,1997-12-22,1538266
Bronze Medal,3,SANCHEZ MOCCIA Rocio,Argentina,ARG,Argentina,Hockey,Women,1988-08-02,1538295
Bronze Medal,3,SAUZE VALDEZ Victoria,Argentina,ARG,Argentina,Hockey,Women,1991-07-21,1538299
Bronze Medal,3,CAIRO Sofia,Argentina,ARG,Argentina,Hockey,Women,2002-10-08,1538261
Bronze Medal,3,TRINCHINETTI Eugenia,Argentina,ARG,Argentina,Hockey,Women,1997-07-17,1538305
Bronze Medal,3,CASAS Lara,Argentina,ARG,Argentina,Hockey,Women,2004-06-22,1538262
Bronze Medal,3,CASTELLARO MORELLO Juana,Argentina,ARG,Argentina,Hockey,Women,2005-03-29,1538263
Bronze Medal,3,CAMPOY Maria,Argentina,ARG,Argentina,Hockey,Women,1990-10-06,1538260
Bronze Medal,3,JANKUNAS Julieta,Argentina,ARG,Argentina,Hockey,Women,1999-01-20,1538277
Bronze Medal,3,DIAZ de ARMAS Zoe,Argentina,ARG,Argentina,Hockey,Women,2006-06-05,1900397
Gold Medal,1,FAN Zhendong,China,CHN,China,Table Tennis,Men's Team,1997-01-22,1902295
Gold Medal,1,MA Long,China,CHN,China,Table Tennis,Men's Team,1988-10-20,1902300
Gold Medal,1,WANG Chuqin,China,CHN,China,Table Tennis,Men's Team,2000-05-11,1902301
Silver Medal,2,KALLBERG Anton,Sweden,SWE,Sweden,Table Tennis,Men's Team,1997-08-17,1563381
Silver Medal,2,KARLSSON Kristian,Sweden,SWE,Sweden,Table Tennis,Men's Team,1991-08-06,1563386
Silver Medal,2,MOREGARD Truls,Sweden,SWE,Sweden,Table Tennis,Men's Team,2002-02-16,1563390
Bronze Medal,3,GAUZY Simon,France,FRA,France,Table Tennis,Men's Team,1994-10-25,1889178
Bronze Medal,3,LEBRUN Alexis,France,FRA,France,Table Tennis,Men's Team,2003-08-27,1889176
Bronze Medal,3,LEBRUN Felix,France,FRA,France,Table Tennis,Men's Team,2006-09-12,1889177
Bronze Medal,3,ANDERSON Matthew,United States,USA,United States,Volleyball,Men,1987-04-18,1917987
Bronze Medal,3,AVERILL Taylor,United States,USA,United States,Volleyball,Men,1992-03-05,1917988
Bronze Medal,3,CHRISTENSON Micah,United States,USA,United States,Volleyball,Men,1993-05-08,1917991
Bronze Medal,3,DEFALCO Torey,United States,USA,United States,Volleyball,Men,1997-04-10,1917993
Bronze Medal,3,HOLT Maxwell,United States,USA,United States,Volleyball,Men,1987-03-12,1918000
Bronze Medal,3,JAESCHKE Thomas,United States,USA,United States,Volleyball,Men,1993-09-04,1918002
Bronze Medal,3,JENDRYK II Jeffrey,United States,USA,United States,Volleyball,Men,1995-09-15,1918003
Bronze Medal,3,MA'A Micah,United States,USA,United States,Volleyball,Men,1997-04-16,1917982
Bronze Medal,3,MUAGUTUTIA Garrett,United States,USA,United States,Volleyball,Men,1988-02-26,1918007
Bronze Medal,3,RUSSELL Aaron,United States,USA,United States,Volleyball,Men,1993-06-04,1918009
Bronze Medal,3,SHOJI Erik,United States,USA,United States,Volleyball,Men,1989-08-24,1918011
Bronze Medal,3,SMITH David,United States,USA,United States,Volleyball,Men,1985-05-15,1918012
Bronze Medal,3,ENSING Kyle,United States,USA,United States,Volleyball,Men,1997-03-06,1917994
Gold Medal,1,BAILEY Christopher,United States,USA,United States,Athletics,Men's 4 x 400m Relay,2000-05-29,1960604
Gold Medal,1,DEADMON Bryce,United States,USA,United States,Athletics,Men's 4 x 400m Relay,1997-03-26,1960590
Gold Medal,1,HALL Quincy,United States,USA,United States,Athletics,Men's 4 x 400m Relay,1998-07-31,1960177
Gold Medal,1,LINDSEY Courtney,United States,USA,United States,Athletics,Men's 4 x 400m Relay,1998-11-18,1965202
Gold Medal,1,NORMAN Michael,United States,USA,United States,Athletics,Men's 4 x 400m Relay,1997-12-03,1965289
Gold Medal,1,NORWOOD Vernon,United States,USA,United States,Athletics,Men's 4 x 400m Relay,1992-04-10,1960111
Gold Medal,1,WILSON Quincy,United States,USA,United States,Athletics,Men's 4 x 400m Relay,2008-01-08,4979564
Silver Medal,2,EPPIE Lee Bhekempilo,Botswana,BOT,Botswana,Athletics,Men's 4 x 400m Relay,1999-05-18,4975921
Silver Medal,2,KEBINATSHIPI Busang Collen,Botswana,BOT,Botswana,Athletics,Men's 4 x 400m Relay,2004-02-13,1950939
Silver Medal,2,NDORI Bayapo,Botswana,BOT,Botswana,Athletics,Men's 4 x 400m Relay,1999-06-20,1950897
Silver Medal,2,PESELA Anthony,Botswana,BOT,Botswana,Athletics,Men's 4 x 400m Relay,2002-06-09,1951506
Silver Medal,2,SCOTCH Leungo,Botswana,BOT,Botswana,Athletics,Men's 4 x 400m Relay,1996-02-28,1950918
Silver Medal,2,TEBOGO Letsile,Botswana,BOT,Botswana,Athletics,Men's 4 x 400m Relay,2003-06-07,1936983
Bronze Medal,3,DOBSON Charles,Great Britain,GBR,Great Britain,Athletics,Men's 4 x 400m Relay,1999-10-20,1924409
Bronze Medal,3,HARRIES Toby,Great Britain,GBR,Great Britain,Athletics,Men's 4 x 400m Relay,1998-09-30,4663897
Bronze Medal,3,HAYDOCK-WILSON Alex,Great Britain,GBR,Great Britain,Athletics,Men's 4 x 400m Relay,1999-07-28,1924426
Bronze Medal,3,HUDSON-SMITH Matthew,Great Britain,GBR,Great Britain,Athletics,Men's 4 x 400m Relay,1994-10-26,1924430
Bronze Medal,3,REARDON Samuel,Great Britain,GBR,Great Britain,Athletics,Men's 4 x 400m Relay,2003-10-30,1956853
Bronze Medal,3,,,,,Athletics,Men's 4 x 400m Relay,,1924402
Gold Medal,1,BROWN Kaylyn,United States,USA,United States,Athletics,Women's 4 x 400m Relay,2004-12-31,1960650
Gold Medal,1,BUTLER Aaliyah,United States,USA,United States,Athletics,Women's 4 x 400m Relay,2003-11-05,4979555
Gold Medal,1,ELLIS Kendall,United States,USA,United States,Athletics,Women's 4 x 400m Relay,1996-03-08,1960984
Gold Medal,1,HAYES Quanera,United States,USA,United States,Athletics,Women's 4 x 400m Relay,1992-03-07,1961016
Gold Medal,1,HOLMES Alexis,United States,USA,United States,Athletics,Women's 4 x 400m Relay,2000-01-28,1960909
Gold Medal,1,LITTLE Shamier,United States,USA,United States,Athletics,Women's 4 x 400m Relay,1995-03-20,1960179
Silver Medal,2,de WITTE Lisanne,Netherlands,NED,Netherlands,Athletics,Women's 4 x 400m Relay,1992-09-10,1972288
Silver Medal,2,KLAVER Lieke,Netherlands,NED,Netherlands,Athletics,Women's 4 x 400m Relay,1998-08-20,1972115
Silver Medal,2,SAALBERG Eveline,Netherlands,NED,Netherlands,Athletics,Women's 4 x 400m Relay,1998-07-30,1972248
Silver Medal,2,van de WIEL Anne,Netherlands,NED,Netherlands,Athletics,Women's 4 x 400m Relay,1997-06-04,4980004
Silver Medal,2,van der SCHOOT Myrte,Netherlands,NED,Netherlands,Athletics,Women's 4 x 400m Relay,2004-04-16,1972251
Bronze Medal,3,ANNING Amber,Great Britain,GBR,Great Britain,Athletics,Women's 4 x 400m Relay,2000-11-18,1924383
Bronze Medal,3,JOHN Yemi Mary,Great Britain,GBR,Great Britain,Athletics,Women's 4 x 400m Relay,2003-05-03,1924437
Bronze Medal,3,KELLY Hannah,Great Britain,GBR,Great Britain,Athletics,Women's 4 x 400m Relay,2000-12-20,1956846
Bronze Medal,3,NIELSEN Laviai,Great Britain,GBR,Great Britain,Athletics,Women's 4 x 400m Relay,1996-03-13,1924464
Bronze Medal,3,NIELSEN Lina,Great Britain,GBR,Great Britain,Athletics,Women's 4 x 400m Relay,1996-03-13,1924463
Bronze Medal,3,OHURUOGU Victoria,Great Britain,GBR,Great Britain,Athletics,Women's 4 x 400m Relay,1993-02-28,1924470
Bronze Medal,3,WILLIAMS Jodie,Great Britain,GBR,Great Britain,Athletics,Women's 4 x 400m Relay,1993-09-28,1924506
Bronze Medal,3,YEARGIN Nicole,Great Britain,GBR,Great Britain,Athletics,Women's 4 x 400m Relay,1997-08-11,1924509
Gold Medal,1,CURRY Stephen,United States,USA,United States,Basketball,Men,1988-03-14,1954698
Gold Medal,1,EDWARDS Anthony,United States,USA,United States,Basketball,Men,2001-08-05,1954701
Gold Medal,1,JAMES LeBron,United States,USA,United States,Basketball,Men,1984-12-30,1954714
Gold Medal,1,DURANT Kevin,United States,USA,United States,Basketball,Men,1988-09-29,1954700
Gold Medal,1,WHITE Derrick,United States,USA,United States,Basketball,Men,1994-07-02,1954724
Gold Medal,1,HALIBURTON Tyrese,United States,USA,United States,Basketball,Men,2000-02-29,1954705
Gold Medal,1,TATUM Jayson,United States,USA,United States,Basketball,Men,1998-03-03,1954684
Gold Medal,1,EMBIID Joel,United States,USA,United States,Basketball,Men,1994-03-16,1954683
Gold Medal,1,HOLIDAY Jrue,United States,USA,United States,Basketball,Men,1990-06-12,1954709
Gold Medal,1,ADEBAYO Bam,United States,USA,United States,Basketball,Men,1997-07-18,1954688
Gold Medal,1,DAVIS Anthony,United States,USA,United States,Basketball,Men,1993-03-11,1954699
Gold Medal,1,BOOKER Devin,United States,USA,United States,Basketball,Men,1996-10-30,1954687
Silver Medal,2,NTILIKINA Frank,France,FRA,France,Basketball,Men,1998-07-28,1573636
Silver Medal,2,BATUM Nicolas,France,FRA,France,Basketball,Men,1988-12-14,1573628
Silver Medal,2,ALBICY Andrew,France,FRA,France,Basketball,Men,1990-03-21,1573627
Silver Medal,2,YABUSELE Guerschon,France,FRA,France,Basketball,Men,1995-12-17,1573638
Silver Medal,2,CORDINIER Isaia,France,FRA,France,Basketball,Men,1996-11-28,1573640
Silver Medal,2,FOURNIER Evan,France,FRA,France,Basketball,Men,1992-10-29,1573632
Silver Medal,2,de COLO Nando,France,FRA,France,Basketball,Men,1987-06-23,1573630
Silver Medal,2,LESSORT Mathias,France,FRA,France,Basketball,Men,1995-09-29,1573634
Silver Medal,2,GOBERT Rudy,France,FRA,France,Basketball,Men,1992-06-26,1573633
Silver Medal,2,WEMBANYAMA Victor,France,FRA,France,Basketball,Men,2004-01-04,1573639
Silver Medal,2,STRAZEL Matthew,France,FRA,France,Basketball,Men,2002-08-05,1573660
Silver Medal,2,COULIBALY Bilal,France,FRA,France,Basketball,Men,2004-07-26,1573642
Bronze Medal,3,PLAVSIC Uros,Serbia,SRB,Serbia,Basketball,Men,1998-12-22,1948421
Bronze Medal,3,PETRUSEV Fili,Serbia,SRB,Serbia,Basketball,Men,2000-04-15,1948420
Bronze Medal,3,JOVIC Nikola,Serbia,SRB,Serbia,Basketball,Men,2003-06-09,1948413
Bronze Medal,3,BOGDANOVIC Bogdan,Serbia,SRB,Serbia,Basketball,Men,1992-08-18,1948404
Bronze Medal,3,MARINKOVIC Vanja,Serbia,SRB,Serbia,Basketball,Men,1997-01-09,1948416
Bronze Medal,3,DOBRIC Ognjen,Serbia,SRB,Serbia,Basketball,Men,1994-10-27,1948407
Bronze Medal,3,JOKIC Nikola,Serbia,SRB,Serbia,Basketball,Men,1995-02-19,1948411
Bronze Medal,3,MICIC Vasilije,Serbia,SRB,Serbia,Basketball,Men,1994-01-13,1948417
Bronze Medal,3,GUDURIC Marko,Serbia,SRB,Serbia,Basketball,Men,1995-03-08,1948408
Bronze Medal,3,DAVIDOVAC Dejan,Serbia,SRB,Serbia,Basketball,Men,1995-01-17,1948405
Bronze Medal,3,AVRAMOVIC Aleksa,Serbia,SRB,Serbia,Basketball,Men,1994-10-25,1948402
Bronze Medal,3,MILUTINOV Nikola,Serbia,SRB,Serbia,Basketball,Men,1994-12-30,1948418
Gold Medal,1,AHMAN David,Sweden,SWE,Sweden,Beach Volleyball,Men,2001-12-20,1934586
Gold Medal,1,HELLVIG Jonatan,Sweden,SWE,Sweden,Beach Volleyball,Men,2001-10-05,1934579
Silver Medal,2,EHLERS Nils,Germany,GER,Germany,Beach Volleyball,Men,1994-02-04,1562864
Silver Medal,2,WICKLER Clemens,Germany,GER,Germany,Beach Volleyball,Men,1995-04-28,1562868
Bronze Medal,3,MOL Anders Berntsen,Norway,NOR,Norway,Beach Volleyball,Men,1997-07-02,1878383
Bronze Medal,3,SOERUM Christian Sandlie,Norway,NOR,Norway,Beach Volleyball,Men,1995-12-03,1878386
Gold Medal,1,LEITAO Iuri,Portugal,POR,Portugal,Cycling Track,Men's Madison,1998-07-03,1933816
Gold Medal,1,OLIVEIRA Rui,Portugal,POR,Portugal,Cycling Track,Men's Madison,1996-09-05,1933821
Silver Medal,2,CONSONNI Simone,Italy,ITA,Italy,Cycling Track,Men's Madison,1994-09-12,1923518
Silver Medal,2,VIVIANI Elia,Italy,ITA,Italy,Cycling Track,Men's Madison,1989-02-07,1923519
Bronze Medal,3,LARSEN Niklas,Denmark,DEN,Denmark,Cycling Track,Men's Madison,1997-03-22,1879180
Bronze Medal,3,MOERKOEV Michael,Denmark,DEN,Denmark,Cycling Track,Men's Madison,1985-04-30,1879160
Gold Medal,1,NAEHER Alyssa,United States,USA,United States,Football,Women,1988-04-20,1943575
Gold Medal,1,FOX Emily,United States,USA,United States,Football,Women,1998-07-05,1943553
Gold Medal,1,ALBERT Korbin,United States,USA,United States,Football,Women,2003-10-13,1943542
Gold Medal,1,GIRMA Naomi,United States,USA,United States,Football,Women,2000-06-14,1943555
Gold Medal,1,RODMAN Trinity,United States,USA,United States,Football,Women,2002-05-20,1943580
Gold Medal,1,KRUEGER Casey,United States,USA,United States,Football,Women,1990-08-23,1943566
Gold Medal,1,DUNN Crystal,United States,USA,United States,Football,Women,1992-07-03,1943588
Gold Medal,1,WILLIAMS Lynn,United States,USA,United States,Football,Women,1993-05-21,1943596
Gold Medal,1,SWANSON Mallory,United States,USA,United States,Football,Women,1998-04-29,1943591
Gold Medal,1,HORAN Lindsey,United States,USA,United States,Football,Women,1994-05-26,1943558
Gold Medal,1,SMITH Sophia,United States,USA,United States,Football,Women,2000-08-10,1943586
Gold Medal,1,DAVIDSON Tierna,United States,USA,United States,Football,Women,1998-09-19,1943550
Gold Medal,1,NIGHSWONGER Jenna,United States,USA,United States,Football,Women,2000-11-28,1943576
Gold Medal,1,SONNETT Emily,United States,USA,United States,Football,Women,1993-11-25,1943587
Gold Medal,1,SHAW Jaedyn,United States,USA,United States,Football,Women,2004-11-20,1943585
